example,mode,compile,upload,scan,connect,info_connected,extra,note
BleAdvertiser,scan_nonconn,pass,skip,skip,skip,skip,skip,
BlePassiveScanner,serial,pass,skip,skip,skip,skip,skip,
BleActiveScanner,serial_active,pass,skip,skip,skip,skip,skip,
BleConnectableScannableAdvertiser,connect,pass,skip,skip,skip,skip,skip,
BleConnectionPeripheral,connect,pass,skip,skip,skip,skip,skip,
BleGattBasicPeripheral,gatt,pass,skip,skip,skip,skip,skip,
BleBatteryNotifyPeripheral,notify,pass,skip,skip,skip,skip,skip,
BlePairingEncryptionStatus,pair,pass,skip,skip,skip,skip,skip,
BleBondPersistenceProbe,bond,pass,skip,skip,skip,skip,skip,
BleConnectionTimingMetrics,connect,pass,skip,skip,skip,skip,skip,
